words	points
ransomeware	574
ransomware	575
rat	576
rc	577
rdp	578
ready	579
records	580
recovery	581
recursively	582
redirect	583
redirection	584
reg	585
registry	586
remaining	587
remcos	588
remote	589
removable	590
removal	591
rep	592
repairing	593
replaced	594
replication	595
request	596
required	597
requirements	598
reserved	599
response	600
result	601
results	602
retrieval	603
reverse	604
roasting	605
robbinhood	606
root	607
rtf	608
ruler	609
rules	610
run	611
rundll32	612
ryuk	613
s	614
sagehire	615
sam	616
samsam	617
scan	618
scanbox	619
scanline	620
scanning	621
scheduled	622
screen	623
script	624
search	625
searching	626
second	627
sector	628
secure	629
security	630
sedkit	631
sensitive	632
server	633
service	634
services	635
session	636
set	637
shadow	638
shamoon	639
share	640
sharing	641
sharplogger	642
shell	643
shellshock	644
shutterlite	645
side	646
signed	647
sigverif	648
simulation	649
site	650
smb	651
smoke	652
snakehose	653
snapshot	654
snmp	655
snooping	656
sodinokibi	657
sofacy	658
sofacycarberp	659
software	660
sogu	661
source	662
sourspigot	663
spelevo	664
splunk	665
spoofed	666
spoofing	667
spraying	668
spreadsheet	669
spring	670
sql	671
sqlite	672
sqlmap	673
ssh	674
sso	675
stage	676
staging	677
startup	678
state	679
status	680
sticky	681
storage	682
store	683
streams	684
string	685
strings	686
struts	687
subst	688
success	689
successful	690
successfully	691
sudo	692
sundown	693
sunshop	694
superscan	695
swf	696
sybase	697
syncappvpublishingserver	698
system	699
table	700
takedown	701
tap	702
task	703
tasklist	704
tasks	705
tcp	706
teamviewer	707
technique	708
telnet	709
temp	710
test	711
text	712
the	713
theater	714
theft	715
themed	716
third	717
through	718
tidyelf	719
time	720
timeout	721
timestomp	722
tkey	723
to	724
tofsee	725
token	726
tonedeaf	727
tool	728
tor	729
traffic	730
transfer	731
tree	732
trevorc2	733
trickbot	734
trojan	735
trusts	736
ttl	737
tunnel	738
tunneling	739
txhollower	740
txt	741
types	742
uac	743
udp	744
unable	745
unattended	746
uncommon	747
universal	748
unquoted	749
unwanted	750
updated	751
upload	752
upx	753
ursnif	754
us	755
usb	756
use	757
user	758
users	759
using	760
utc	761
utility	762
v3	763
v5	764
valid	765
valuevault	766
variant	767
various	768
vawtrak	769
vbs	770
vbscript	771
vea	772
version	773
vertexnet	774
via	775
video	776
virus	777
vm	778
vna	779
voicetroll	780
volume	781
volumes	782
vpa	783
vpn	784
vssadmin	785
vulnerabilities	786
vulnerability	787
w	788
waf	789
wallpaper	790
wannacry	791
wannadecryptor	792
watchbog	793
wbadmin	794
web	795
webmin	796
webserver	797
website	798
whoami	799
widetone	800
wifi	801
win10	802
win32	803
win7	804
windows	805
winlogon	806
with	807
without	808
wmi	809
wmic	810
word	811
wordpress	812
workstation	813
worm	814
wpscan	815
wscript	816
wsl	817
wso	818
x10	819
x2	820
x3	821
x4	822
x5	823
x64	824
xdoor	825
xml	826
zagros	827
zeroclear	828
zerot	829
zeus	830
zip	831
zipped	832
